Muserende,Juvé y Camps Reserva Gran Reserva Brut Nature,Juve y Camps,2012,Spania,Øvrige,174,Jentetur Arendal,,Macabeo 30%  Xarello 40%  Chardonnay 10%  Parellada 20%
R�d ,Protos Reserva,Bod. Protos,2011,Spania,Castilla y León  Ribera del Duero,299,Gave mamma,,Tempranillo 100%
R�d ,Barolo Albe,G.D Varja,2011,Italia,Barolo  Piemonte,365,Gave m&p,,
Muserende,Nicolas Feuillatte Réserve Brut,Nicolas Feuillatte,,Frankrike,Champagne,355,Champagnesmaking,,Pinot Noir 40%  Pinot Meunier 40%  Chardonnay 20%
Muserende,Veuve Clicquot  Sec,Veuve Clicquot Ponsardin,2011,Frankrike,Champagne,415,Innflytting leil,,Chardonnay 16%  Pinot Noir 84%
R�d ,Orache,Bod. Alodia,2014,Spania,Somontano,159,Helgekos,,Moristel (30%)  Syrah (70%)
R�d ,Cottini Valpolicella Ripasso,Agr. Cottini,2014,Italia,Veneto  Valpolicella,209,Nyttårsaften,,Rondinella 25%  Corvina 45%  Corvinone 28%  Molinara 2%
Muserende,Casa delle Colonne Franciacorta Brut Riserva ,F.lli Berlucchi,2009,Italia,Lombardia  Franciacorta,199,Nyttårsaften,,Pinot Nero 10%  Chardonnay 90%
Muserende,Cuvée Jean-Louis Blanc de Blancs Brut,Charles de Fères,,Frankrike,Øvrige,109,Aperitif juleverksted,,Chardonnay
R�d ,Cline Sonoma Coast Pinot Noir,Cline,2014,USA,California,159,Pinnekjøtt,,Pinot Noir
Muserende,Anna Spinato Prosecco Brut,Az. Vin. Anna Spinato,2014,Italia,Prosecco,125,Middag med J/C,,Glera
Muserende,J. Laurens Les Graimenous Crémant de Limoux,J. Laurens,2014,Frankrike,Languedoc-Roussillon  Limoux,155,Helgekos,,Mauzac  Pinot Noir  Chenin Blanc  Chardonnay
R�d ,Bourgogne Couvent des Jacobins Rouge,Louis Jadot,2013,Frankrike,Burgund,175,Torsk,,Pinot Noir
R�d ,The Flower and the Bee  Souson,Coto de Gomariz,2013,Spania,Galicia  Ribeiro,172,Lasagne,,R�d ,Matsu El Picaro,Matsu,2015,Spania,Toro,156,"hos Marte",,
R�d ,Nirvasco Barolo,Bersano,2011,Italia,Barolo  Piemonte,279,Helgekos,,Nebbiolo
R�d ,Principiano Langhe Rosso,Ferdinando Principiano,2014,Italia,Piemonte  Langhe,159,Pizza,,
R�d ,Guigal Crozes Hermitage,E. Guigal,2012,Frankrike,Nord Rohne,232,Til andeconfit,Jun-16,Syrah
Hvit,Le G,Chateau guiraud,2014,Frankrike,Bordeaux,185,Skrei,Dec-16,Sémillon 50%  Sauvignon Blanc 50%
R�d ,Baron de Lay Reserva,Baron de Ley,2011,Spania,Rioja,171,Helgekos,Jun-16,
Hvit,Mouton Cadet Réserve Sauternes 2013,Baron Philippe de Rothschild,2013,Frankrike,Bordeaux,122,Blåmugg,,Muscadelle 5%  Sauvignon Blanc 15%  Sémillon 80%
Hvit,Henri Bourgeois Petit Bourgeois Sauvignon 2015/2016,Dom. Henri Bourgeois,2015,Frankrike,Loire,149,Reker,Mar-17,Sauvignon Blanc 100%
R�d ,Wongraven Alleanza Langhe Rosso,Wongraven Wines,2015,Italia,Langhe  Piemonte,159,Pizza,Feb-17,Barbera 52%  Nebbiolo 12%  Dolcetto 36%
Hvit,Markus M Zeltinger Sonnenuhr Riesling Spätlese Tørr,Markus Molitor,2015,Tyskland,Mosel,225,KAmskjell,Mar-17,Riesling
R�d ,Altos del plata ,Terrazas de Los Andes,2015,Argentina ,Mendoza,169,Biff&bernaise,Jan-17,Malbec
R�d ,Matua Marlborough Pinot Noir,Matua Wines,2015,New Zealand,Marlborough,144,Skravlevin,Feb-17,Pinot Noir
R�d ,Orache,Bod. Alodia,2014,Spania,Somontano,159,Helgekos,Feb-17,Moristel (30%)  Syrah (70%)
Rose,Guy Saget Sancerre Rosé,Guy Saget,2014,Frankrike,Loire  Sancerre,210,Aperitif,Jun-16,Pinot Noir
R�d ,Montecillo Gran Reserva,Bod. Montecillo,2008,Spania,Rioja,229,Lammestek,Jan-17,Tempranillo 100%
